symbol,rs_date,RS_20d,RS_60d,RS_120d,RS_180d,RS_250d,RS_20d_z,RS_60d_z,RS_120d_z,RS_180d_z,RS_250d_z,RS_Score,RS_Rating
BMM,2026-03-13,1.0443275456503245,0.9684783778939879,0.9858577200539399,1.046125141486694,1.005538467288979,0.24303726081197452,-0.10958039693256832,-0.06748567782019263,-0.09344239859160443,-0.1058021562226712,-0.06000061560534277,57.79661016949152
BNCOM,2026-03-13,0.9868726321355816,0.922159846777319,1.0795142034590641,1.255350169784033,1.2354161253087599,-0.36277373446605804,-0.19832689208916282,0.009458927347584772,0.06467400101529783,0.07363917558017652,-0.0694300326963724,51.186440677966104
BPI,2026-03-13,0.8918254019217118,0.8348951533568861,0.8802301071910178,0.838913505602802,0.747056810764472,-1.3649622961024732,-0.3655264017729038,-0.15426530770866342,-0.25003722899619485,-0.30757162391653753,-0.3808636664560039,3.728813559322034
BRN,2026-03-13,0.8702729547086036,0.8315218396059493,1.3737361672882769,1.5878685183280177,1.612656032444589,-1.5922136954714763,-0.37198968472341726,0.2511805040653395,0.3159661361048386,0.3681107302704149,-0.08961331218630803,45.76271186440678
BSC,2026-03-13,1.0106395603067655,1.0018741840282632,0.9858577200539399,1.0206098941333601,0.9810131388185163,-0.11217260169450087,-0.045593895722484776,-0.06748567782019263,-0.11272488634854372,-0.12494650300935832,-0.08305380106235619,48.13559322033898
C,2026-03-13,0.9739234414491789,0.8737359278826194,0.7867902958122789,0.7893489703945055,0.7013419561763468,-0.4993114406060513,-0.2911073188437847,-0.23103190337923385,-0.28749434356371173,-0.3432564071230936,-0.3040086453397554,8.47457627118644
CA,2026-03-13,1.1905334020413698,1.142924793787936,1.0415920304555064,1.3076564268583677,1.214315521937962,1.7846480640900706,0.2246596497610996,-0.02169648787595167,0.10420310091702335,0.05716815180467843,0.2698544223224555,91.52542372881356
CAB,2026-03-13,1.0443275456503245,0.9684783778939879,0.8945745978267233,1.1934838633957627,1.1458461603990693,0.24303726081197452,-0.10958039693256832,-0.14248041969911796,0.01792014129451407,0.003721316091864751,-0.04004827225067,67.79661016949152
CAT,2026-03-13,1.0936575905202395,0.9466739866468438,0.997343441064277,0.9767584206354258,0.7276188075799419,0.763178737869195,-0.15135769978643168,-0.05804944622066967,-0.14586450240392865,-0.3227448304345886,-0.06118642275015143,53.559322033898304
CBC,2026-03-13,1.0630319196022704,1.1794683102208927,1.0774919312128,1.0648617111849632,0.7425849861300312,0.440258259099149,0.2946771767839977,0.007797505373651923,-0.07928272101486697,-0.3110623075040821,0.07186246495994147,81.35593220338984
CDC,2026-03-13,1.00768447387312,0.9344966804240236,0.9190199085248594,0.9132838536788601,0.8778510428713312,-0.14333136156348855,-0.17468946833932011,-0.12239708204340569,-0.19383376342138348,-0.20547431092161372,-0.16692714649151508,29.152542372881356
CEB,2026-03-13,0.9055607347899388,0.9578856456357724,0.9735537235478066,0.9433008754431301,0.9224722460781504,-1.22013541940305,-0.12987611528514192,-0.07759417344942682,-0.17114917617619313,-0.17064322642627688,-0.24020123908738442,15.932203389830507
CEI,2026-03-13,1.0582519129256622,0.99465346918842,1.0552843200577386,1.3707846681549785,1.4419042172445737,0.38985733731465133,-0.059428814903043206,-0.01044742343340417,0.1519106352811748,0.23482273094423442,0.08415077010007124,82.03389830508473
CEU,2026-03-13,1.0232425476977645,1.0513087654770263,1.0631798941758175,0.9432275865863635,1.2092845998737722,0.02071469841184146,0.04912296462138959,-0.00396071999333822,-0.1712045623327039,0.05324103960434071,-0.010436577296623208,72.20338983050848
CHP,2026-03-13,0.8544498100775381,0.8070653149116566,0.7648896103866777,0.8187066324678476,0.7015384655504506,-1.759054691497244,-0.41884848611464043,-0.24902467367883258,-0.26530805033823723,-0.34310301290416556,-0.468343245407097,2.0338983050847457
